yī_gè nán_rén	yī-gè nán-rén	y_C4_AB_g_C3_A8_n_C3_A1n_r_C3_A9n
nán_rén	nán-rén	n_C3_A1n_r_C3_A9n
{zhè_gé nán_rén}	zhè-gé nán-rén	zh_C3_A8_g_C3_A9_n_C3_A1n_r_C3_A9n
tā hěn cōng_míng	tā hěn cōng-míng	t_C4_81_h_C4_9Bn_c_C5_8Dng_m_C3_ADng
zhè_ge nán_rén hěn cōng_míng	zhè-ge nán-rén hěn cōng-míng	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_h_C4_9Bn_c_C5_8Dng_m_C3_ADng
tā hěn hǎo	tā hěn hǎo	t_C4_81_h_C4_9Bn_h_C7_8Eo
zhè_ge nán_rén hěn hǎo	zhè-ge nán-rén hěn hǎo	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_h_C4_9Bn_h_C7_8Eo
tā hěn gāo	tā hěn gāo	t_C4_81_h_C4_9Bn_g_C4_81o
zhè gè nán_rén hěn gāo	zhè gè nán-rén hěn gāo	zh_C3_A8_g_C3_A8_n_C3_A1n_r_C3_A9n_h_C4_9Bn_g_C4_81o
yī gè cōng_míng de nán_rén	yī gè cōng-míng de nán-rén	y_C4_AB_g_C3_A8_c_C5_8Dng_m_C3_ADng_de_n_C3_A1n_r_C3_A9n
zhè_ge cōng_míng de nán_rén	zhè-ge cōng-míng de nán-rén	zh_C3_A8_ge_c_C5_8Dng_m_C3_ADng_de_n_C3_A1n_r_C3_A9n
yī_gè hǎo nán_rén	yī-gè hǎo nán-rén	y_C4_AB_g_C3_A8_h_C7_8Eo_n_C3_A1n_r_C3_A9n
zhè_ge hǎo nán_rén	zhè-ge hǎo nán-rén	zh_C3_A8_ge_h_C7_8Eo_n_C3_A1n_r_C3_A9n
yī gè gāo de nán_rén	yī gè gāo de nán-rén	y_C4_AB_g_C3_A8_g_C4_81o_de_n_C3_A1n_r_C3_A9n
zhè gè gāo de nán_rén	zhè gè gāo de nán-rén	zh_C3_A8_g_C3_A8_g_C4_81o_de_n_C3_A1n_r_C3_A9n
tā dú	tā dú	t_C4_81_d_C3_BA
zhè_ge nán_rén dú	zhè-ge nán-rén dú	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_d_C3_BA
tā chī	tā chī	t_C4_81_ch_C4_AB
zhè_ge nán_rén chī	zhè-ge nán-rén chī	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_ch_C4_AB
tā hē	tā hē	t_C4_81_h_C4_93
zhè_ge nán_rén hē	zhè-ge nán-rén hē	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_h_C4_93
tā chàng	tā chàng	t_C4_81_ch_C3_A0ng
chàng de nán_rén	chàng de nán-rén	ch_C3_A0ng_de_n_C3_A1n_r_C3_A9n
tā zhǔ	tā zhǔ	t_C4_81_zh_C7_94
zhǔ de nán_rén	zhǔ de nán-rén	zh_C7_94_de_n_C3_A1n_r_C3_A9n
tā yóu_yǒng	tā yóu-yǒng	t_C4_81_y_C3_B3u_y_C7_92ng
yóu_yǒng de nán_rén	yóu-yǒng de nán-rén	y_C3_B3u_y_C7_92ng_de_n_C3_A1n_r_C3_A9n
tā shì yī_gè lǎo_shī	tā shì yī-gè lǎo-shī	t_C4_81_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB
zhè_ge nán_rén shì yī_gè lǎo_shī	zhè-ge nán-rén shì yī-gè lǎo-shī	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB
tā shì yī_gè yī_shēng	tā shì yī-gè yī-shēng	t_C4_81_sh_C3_AC_y_C4_AB_g_C3_A8_y_C4_AB_sh_C4_93ng
zhè_ge nán_rén shì yī_gè yī_shēng	zhè-ge nán-rén shì yī-gè yī-shēng	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_sh_C3_AC_y_C4_AB_g_C3_A8_y_C4_AB_sh_C4_93ng
tā shì yī_gè fān_yì	tā shì yī-gè fān-yì	t_C4_81_sh_C3_AC_y_C4_AB_g_C3_A8_f_C4_81n_y_C3_AC
zhè_ge nán_rén shì yī_gè fān_yì	zhè-ge nán-rén shì yī-gè fān-yì	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_sh_C3_AC_y_C4_AB_g_C3_A8_f_C4_81n_y_C3_AC
wǒ de fù_qīn	wǒ de fù-qīn	w_C7_92_de_f_C3_B9_q_C4_ABn
tā de fù_qīn	tā de fù-qīn	t_C4_81_de_f_C3_B9_q_C4_ABn
tā de fù_qīn	tā de fù-qīn	t_C4_81_de_f_C3_B9_q_C4_ABn
nǐ de fù_qīn (s) % nǐ_men de fù_qīn (p) % nǐn de fù_qīn (r)	nǐ de fù-qīn%nǐ-men de fù-qīn%nǐn de fù-qīn	n_C7_90_de_f_C3_B9_q_C4_ABn_s_25n_C7_90_men_de_f_C3_B9_q_C4_ABn_p_25n_C7_90n_de_f_C3_B9_q_C4_ABn_r
wǒ de fù_qīn shì yī_gè lǎo_shī	wǒ de fù-qīn shì yī-gè lǎo-shī	w_C7_92_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB
tā de fù_qīn shì yī_gè yī_shēng	tā de fù-qīn shì yī-gè yī-shēng	t_C4_81_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_y_C4_AB_sh_C4_93ng
tā de fù_qīn shì yī_gè fān_yì	tā de fù-qīn shì yī-gè fān-yì	t_C4_81_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_f_C4_81n_y_C3_AC
wǒ de fù_qīn shì yī_gè yī_shēng	wǒ de fù-qīn shì yī-gè yī-shēng	w_C7_92_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_y_C4_AB_sh_C4_93ng
nǐ de fù_qīn shì yī_gè lǎo_shī (s) % nǐ_men de fù_qīn shì yī_gè lǎo_shī (p) % nǐn de fù_qīn shì yī_gè lǎo_shī (r)	nǐ de fù-qīn shì yī-gè lǎo-shī%nǐ-men de fù-qīn shì yī-gè lǎo-shī%nǐn de fù-qīn shì yī-gè lǎo-shī	n_C7_90_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB_s_25n_C7_90_men_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB_p_25n_C7_90n_de_f_C3_B9_q_C4_ABn_sh_C3_AC_y_C4_AB_g_C3_A8_l_C7_8Eo_sh_C4_AB_r
yī_gè mao	yī-gè mao	y_C4_AB_g_C3_A8_mao
māo	māo	m_C4_81o
zhè_gè māo	zhè-gè māo	zh_C3_A8_g_C3_A8_m_C4_81o
wǒ de māo	wǒ de māo	w_C7_92_de_m_C4_81o
nǐ de māo (s) % nǐ_men de māo (p) % nǐn de māo (r)	nǐ de māo%nǐ-men de māo%nǐn de māo	n_C7_90_de_m_C4_81o_s_25n_C7_90_men_de_m_C4_81o_p_25n_C7_90n_de_m_C4_81o_r
wǒ_men de māo	wǒ-men de māo	w_C7_92_men_de_m_C4_81o
tā de māo	tā de māo	t_C4_81_de_m_C4_81o
tā de māo	tā de māo	t_C4_81_de_m_C4_81o
tā_men de māo	tā-men de māo	t_C4_81_men_de_m_C4_81o
yī_gè dà māo	yī-gè dà māo	y_C4_AB_g_C3_A8_d_C3_A0_m_C4_81o
wǒ de māo shì dà	wǒ de māo shì dà	w_C7_92_de_m_C4_81o_sh_C3_AC_d_C3_A0
